session_id,lang,source,wav,label_file,duration_s,annotated,reference_transcript
as_in_s008,as_in,synthetic,./run/03_benchmark/human_gold/as_in_s008.wav,./run/03_benchmark/human_gold/as_in_s008_TEMPLATE.txt,45.0,0,
as_in_s009,as_in,synthetic,./run/03_benchmark/human_gold/as_in_s009.wav,./run/03_benchmark/human_gold/as_in_s009_TEMPLATE.txt,45.0,0,
bn_in_s008,bn_in,synthetic,./run/03_benchmark/human_gold/bn_in_s008.wav,./run/03_benchmark/human_gold/bn_in_s008_TEMPLATE.txt,45.0,0,
bn_in_s009,bn_in,synthetic,./run/03_benchmark/human_gold/bn_in_s009.wav,./run/03_benchmark/human_gold/bn_in_s009_TEMPLATE.txt,45.0,0,
gu_in_s008,gu_in,synthetic,./run/03_benchmark/human_gold/gu_in_s008.wav,./run/03_benchmark/human_gold/gu_in_s008_TEMPLATE.txt,45.0,0,
gu_in_s009,gu_in,synthetic,./run/03_benchmark/human_gold/gu_in_s009.wav,./run/03_benchmark/human_gold/gu_in_s009_TEMPLATE.txt,45.0,0,
hi_in_s008,hi_in,synthetic,./run/03_benchmark/human_gold/hi_in_s008.wav,./run/03_benchmark/human_gold/hi_in_s008_TEMPLATE.txt,45.0,0,
hi_in_s009,hi_in,synthetic,./run/03_benchmark/human_gold/hi_in_s009.wav,./run/03_benchmark/human_gold/hi_in_s009_TEMPLATE.txt,45.0,0,
kn_in_s008,kn_in,synthetic,./run/03_benchmark/human_gold/kn_in_s008.wav,./run/03_benchmark/human_gold/kn_in_s008_TEMPLATE.txt,45.0,0,
kn_in_s009,kn_in,synthetic,./run/03_benchmark/human_gold/kn_in_s009.wav,./run/03_benchmark/human_gold/kn_in_s009_TEMPLATE.txt,45.0,0,
ml_in_s008,ml_in,synthetic,./run/03_benchmark/human_gold/ml_in_s008.wav,./run/03_benchmark/human_gold/ml_in_s008_TEMPLATE.txt,45.0,0,
ml_in_s009,ml_in,synthetic,./run/03_benchmark/human_gold/ml_in_s009.wav,./run/03_benchmark/human_gold/ml_in_s009_TEMPLATE.txt,45.0,0,
mr_in_s008,mr_in,synthetic,./run/03_benchmark/human_gold/mr_in_s008.wav,./run/03_benchmark/human_gold/mr_in_s008_TEMPLATE.txt,45.0,0,
mr_in_s009,mr_in,synthetic,./run/03_benchmark/human_gold/mr_in_s009.wav,./run/03_benchmark/human_gold/mr_in_s009_TEMPLATE.txt,45.0,0,
ne_np_s008,ne_np,synthetic,./run/03_benchmark/human_gold/ne_np_s008.wav,./run/03_benchmark/human_gold/ne_np_s008_TEMPLATE.txt,45.0,0,
ne_np_s009,ne_np,synthetic,./run/03_benchmark/human_gold/ne_np_s009.wav,./run/03_benchmark/human_gold/ne_np_s009_TEMPLATE.txt,45.0,0,
or_in_s008,or_in,synthetic,./run/03_benchmark/human_gold/or_in_s008.wav,./run/03_benchmark/human_gold/or_in_s008_TEMPLATE.txt,45.0,0,
or_in_s009,or_in,synthetic,./run/03_benchmark/human_gold/or_in_s009.wav,./run/03_benchmark/human_gold/or_in_s009_TEMPLATE.txt,45.0,0,
pa_in_s008,pa_in,synthetic,./run/03_benchmark/human_gold/pa_in_s008.wav,./run/03_benchmark/human_gold/pa_in_s008_TEMPLATE.txt,45.0,0,
pa_in_s009,pa_in,synthetic,./run/03_benchmark/human_gold/pa_in_s009.wav,./run/03_benchmark/human_gold/pa_in_s009_TEMPLATE.txt,45.0,0,
ta_in_s008,ta_in,synthetic,./run/03_benchmark/human_gold/ta_in_s008.wav,./run/03_benchmark/human_gold/ta_in_s008_TEMPLATE.txt,45.0,0,
ta_in_s009,ta_in,synthetic,./run/03_benchmark/human_gold/ta_in_s009.wav,./run/03_benchmark/human_gold/ta_in_s009_TEMPLATE.txt,45.0,0,
te_in_s008,te_in,synthetic,./run/03_benchmark/human_gold/te_in_s008.wav,./run/03_benchmark/human_gold/te_in_s008_TEMPLATE.txt,45.0,0,
te_in_s009,te_in,synthetic,./run/03_benchmark/human_gold/te_in_s009.wav,./run/03_benchmark/human_gold/te_in_s009_TEMPLATE.txt,45.0,0,
ur_pk_s008,ur_pk,synthetic,./run/03_benchmark/human_gold/ur_pk_s008.wav,./run/03_benchmark/human_gold/ur_pk_s008_TEMPLATE.txt,45.0,0,
ur_pk_s009,ur_pk,synthetic,./run/03_benchmark/human_gold/ur_pk_s009.wav,./run/03_benchmark/human_gold/ur_pk_s009_TEMPLATE.txt,45.0,0,
real_hi_in_000,hi_in,real_indicvoices,./run/03_benchmark/human_gold/real/real_hi_in_000.wav,./run/03_benchmark/human_gold/real/real_hi_in_000_TEMPLATE.txt,5.729,0,स्थानीय कला रूप या शिल्प होसंगाबाद जिले के लिए एक
real_hi_in_001,hi_in,real_indicvoices,./run/03_benchmark/human_gold/real/real_hi_in_001.wav,./run/03_benchmark/human_gold/real/real_hi_in_001_TEMPLATE.txt,2.808,0,अनोखे हैं ये कला के रूप में
real_hi_in_002,hi_in,real_indicvoices,./run/03_benchmark/human_gold/real/real_hi_in_002.wav,./run/03_benchmark/human_gold/real/real_hi_in_002_TEMPLATE.txt,9.619,0,काफ़ी महत्वपूर्ण दृश्य है यहाँ पे प्राचीन सांस्कृतिक
real_hi_in_003,hi_in,real_indicvoices,./run/03_benchmark/human_gold/real/real_hi_in_003.wav,./run/03_benchmark/human_gold/real/real_hi_in_003_TEMPLATE.txt,8.653,0,धार्मिक ये एक धार्मिक स्थान भी जैसे होसंगाबाद जिले में पचमढ़ी एक ऐसा स्थान है जहाँ पे
real_hi_in_004,hi_in,real_indicvoices,./run/03_benchmark/human_gold/real/real_hi_in_004.wav,./run/03_benchmark/human_gold/real/real_hi_in_004_TEMPLATE.txt,1.128,0,धार्मिक स्थान है
real_hi_in_005,hi_in,real_indicvoices,./run/03_benchmark/human_gold/real/real_hi_in_005.wav,./run/03_benchmark/human_gold/real/real_hi_in_005_TEMPLATE.txt,1.6,0,वहाँ पे धार्मिक भी है
real_hi_in_006,hi_in,real_indicvoices,./run/03_benchmark/human_gold/real/real_hi_in_006.wav,./run/03_benchmark/human_gold/real/real_hi_in_006_TEMPLATE.txt,2.338,0,और धार्मिक के साथ वहाँ पर
real_hi_in_007,hi_in,real_indicvoices,./run/03_benchmark/human_gold/real/real_hi_in_007.wav,./run/03_benchmark/human_gold/real/real_hi_in_007_TEMPLATE.txt,10.748,0,काफ़ी दृश्यों का नजारा देखने को मिलता है जैसे कि वहाँ पर हाइवे पर हम हम लोगों को जाते समय हाइवे ये होसंगाबाद से लगभग
